Missing Reports,Missing Forms,Validation Checklist,Missing Plans,Missing Details,Missing Drawings,Incorrect Fee - Underpayment,Incorrect Fee - Other,Other
"The application must be accompanied by a Biodiversity survey and Net Gain Report, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports","The question on the application form - Description of proposal it is not acceptable you must state in full what you are seeking permission for, It is not the responsibility of the technical support validation team to review and ascertain what the proposed description is","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","Please provide an scaled existing floor plan in metric, PDF format, and with a scale bar.",Sectional drawings are also required for all applications for advertisement consent and should include a section through the proposed signage indicating the depth and fixing techniques of any signage where attached to a building or structure and details of any internal or external illumination.?,Please provide a sketch location plan with the tree plotted on.,The submitted fee is insufficient. Please forward a further £65.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Please make a payment of £258.00 via the Planning Portal. The fee exemption does not apply to this application.,"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 49 to 71 Florence Street, ECCLES, MANCHESTER, M30 7JN"
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/","The question on the application form - Description of proposal it is not acceptable you must state in full what you are seeking permission for, It is not the responsibility of the technical support validation team to review and ascertain what the proposed description is","the location plan provided is incorrect. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",NOPLAN - Provide scaled plans (1:50 or 1:100) showing existing and proposed floor plans and elevations.,Please clarify what the appearance of the window manifestation is.,The submitted plan drawing number 111-102 Proposed Ground and First floor is annotated incorrectly on the first floor the bedrooms are marked as bedroom 2 and two bedroom 3 - please amend and send to the planning generic email,The submitted fee is insufficient. Please forward a further £258IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"The application states the development is for disabled applicant, however no justification has been provided. A fee of £206.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.","Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: Flat 1 to 19, The Vineyard, 8 Vine Street, Salford, M7 3AD"
"The application must be accompanied by Planning Obligations pro forma statement, or the minimum information submitted in a viability statement as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htmhttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/","The question on the application form - Description of proposal it is not acceptable to complete as see covering letter you must state in full what you are seeking permission for, It is not the responsibility of the technical support validation team to review a covering letter and ascertain what the proposed description is.","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","BLKP - An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please clarify the number of the ACM panels applied for.,There is a significant difference in levels between Block 1 and Block 2 ? as part of the landscaping detail we need to see the detailed design/appearance of the proposed retaining feature(s).,The submitted fee is insufficient. Please forward a further £129.00; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,A fee of £258 is required for this application. Please contact technical support on 0161 779 6195 to make a card payment,Please provide an existing layout plan in 1:50 or 1:100 scale.
"The application must be accompanied by an Affordable Housing Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at http://www.salford.gov.uk/validationchecklist.htm",The application requires a Social Value Strategy more information can be found in the Adopted Salford Local Plan: Development management policies and designations https://www.salford.gov.uk/media/398824/salford-local-plan-development-management-policies-and-designations.pdf,"Please can the location plan be corrected. The location plan should be at a scale of 1:1250 It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","FENCE - We require elevation plans to scale of the proposed fence or an illustration of the type of fencing to be erected. This may be an illustration from the manufacturers brochure or similar literature. You should clearly indicate which fencing you propose to use, the colour treatment and the overall height in metric.",securing the site - can you confirm whether any new boundary treatments are proposed and if so please can you provide the location and details,,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.","Can you please confirm which location plan you wish to submit as there are 3 different ones you have submitted, one of them being incorrect, please send over the correct location plan via email to Planning.Contact@salford.gov.uk ."
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",You are required to submit a Northwest SUDs Pro forma.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","BLKP - An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,The submitted fee is insufficient. Please forward a further £258.00IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",There is no red line on the location plan. Please include a continuous single red line around the site area.
The submitted Bio Net Gain assessment shows a link which does not work - please supply a Bio Net Gain Assessment in Excel spreadsheet format as per the validation check list,A Transport Plan is required to accompany the application. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",ELEV - We require scaled plans in metric and PDF showing the existing and proposed elevations. A scale bar must be included on all plans submitted OR confirmation that no changes to elevations are to be made,,,"The submitted fee is insufficient. A fee of £251.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","A fee of £ 258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Please amend the location plan to include a red line around the site area.
We also require the following reports: Fire Safety energy Statement Wind report Townscape visual Impact VU City Model,We require a VU City 3D model as per the validation check list  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/vu-city-3d-model/,"Please confirm if the insulation affects the footprint of the property. If it does, please provide a site layout plan as per the validation requirement as per the website below: https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","BLKP - An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",,,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"A fee of £258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Please provide and email address to your agent.
"The application must be accompanied by a Planning Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm",The location plan must have one continuous line around the boundaries of the property and include at least 2 street names in the surrounding area. Please see  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/  for further information.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",ELEV - We require scaled plans in metric and PDF showing the existing and proposed elevations. A scale bar must be included on all plans submitted OR confirmation that no changes to elevations are to be made,,,"On checking the submitted proposed floor layouts the ground floor shows 5 no. HMO shared facilities, the first floor show 3 no. bed-sits these contain kitchen facilities In planning terms an HMO is a property occupied by three or more unrelated individuals, who share one or more basic amenity, whereas a self-contained flat is a unit of accommodation which: 1.Has access to all three basic amenities (personal washing, WC and cooking facilities); 2.These amenities are available for the exclusive use of the occupier; 3.The amenities are available without passing through the common parts of the accommodation Therefore the first floor would be classed as 3 self contained units, and would require a further payment of 3 x £578 and a further payment of £578 for the new rear apartment in total an additional fee of £2312 If you were to omit the kitchen facilities from the 3 no. bed-sits we would require a new set of drawings together with the further fee of £578 for the apartment Please also note once the above is agreed I will then contact you to agree the correct proposal","The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",The red line appears to be incorrect in the location plan according our mapping system. It appears to be only around 502 Great Cheetham Street East.
"CONTAM - The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,The location pan submitted is not acceptable the requirements as per the validation check list states that s ufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear;,U0014134 - Please provide exisitng and proposed floor plans. A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,,,further fee of £578,"A fee of £258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Location Plan required - please see email on file
"NOISE - The application must be accompanied by a Noise Impact Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",U0014175 - We require scaled plans in metric and PDF showing the existing and proposed floor and elevation for the rear detached garage if changes are being proposed. A scale bar must be included on all plans submitted OR confirmation that no changes to floor and elevations are to be made,,,The submitted fee is insufficient. Please forward a further £320.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"A fee of £258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Please amend the location plan to include a red line around the property boundaries.
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Please submit the BNG calculation tool in excel format.,"Please provide an updated location plan. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please could you review file named '0307 - 001 - Details As Existing - rev A.pdf' as the plans within the document appear to be Proposed Elevations and Floor Plans. Please provided the existing plans and annotated correctly.,,,The submitted fee is insufficient. Please forward a further £320.00 by return. Payment can be made by telephoning 0161 779 6195.,"A fee of £258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","PROP - We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"CRIME - The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",You are required to submit a Northwest SUDs Pro forma.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","We require elevation plans to scale of the proposed gate and/or fence or an illustration of the type to be erected. This may be an illustration from the manufacturers brochure or similar literature. You should clearly indicate which fencing you propose to use, the colour treatment and the overall height in metric.",,,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"A fee of £258.00 is required for this application. The fee can be paid by credit or debit card via bank transfer using the information below; Bank account name: Salford City Council Bank account number: 93073130 Sort code: 20-54-66 Please ensure you quote reference D44087528 if paying via bank transfer. Please note that it can take between 3 and 5 working days for the payment to appear in the account depending on the payment method (BACs, CHAPS) and so to avoid further delaying your application please email a copy of the transaction evidence over as soon as it is complete and I will then contact our finance team to match up the payment with your application as soon as it arrives. Please be advised that failure to provide the information requested relating to the transaction may cause a delay in processing your application. We are unable to process the application through to the planning officer without the outstanding payment. .","U0013885 - Please resubmitted the Location Plan, as it is showing too may red boundary lines around dwelling and land. The red line on the location plan should be a continuous red line around the whole of the application boundary."
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",,,"A further fee of £35 is required this can be paid by BACS        Bank account name: Salford City Council        Bank account number: 93073130        Sort code: 20-54-66 Please ensure you quote reference D44087528   if paying via bank transfer. Please note that it can take between 3 and 5 working days for the payment to appear in the account depending on the payment method (BACs, CHAPS) and so to avoid further delay, please email a copy of the transaction to planning.contact@salford.gov.uk as evidence over as soon as it is complete and the technical support team will then contact our finance team to match up the payment with your applications as soon as they arrive","The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",various documents email sent separately
"The application must be accompanied by an Affordable Housing Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at http://www.salford.gov.uk/validationchecklist.htm",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,,,The submitted fee is insufficient. Please forward a further £578; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195,U0013452 - Please clarify what the 50% reduction in the fee calculation is based on. This only applies if you submit an application on the same site on the same day. We do not have a record of another application in our system that fits this criteria.,"PROP - We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by an Air Quality Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/air-quality-assessment/",The application form states 6 bedroom HMO yet the plans only show 5 bedrooms please amend plan,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","The floor plan within document called 'Kerb D ? rop.pdf' doesn't scale at 1:50, please review and update.",,,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"Viablity Statement (Where a developer considers that it is not financially viable to enter into an agreement, or that they can only make reduced payments from that sought by the city council, then a clear and robust unredacted financial viability assessment, to include an executive summary, will be required. An application will not be considered as ?valid? unless a financial viability assessment has been submitted. viability assessments will be made publicly available in Further details of what should be included within the viability assessment are detailed within the Planning obligations pro forma statement. available on the link https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",Please see the screenshot attached from https://map.salford.gov.uk/. It appears that the trees are not protected by a TPO but are on conservation area and therefore may need a the application amending to reflect this. Please confirm and submit an amendment if appropriate.
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",There is missing supporting document evidence for the copy of the HMO licence that you intended to submit as stated on the application form. Please can you send the supporting document via email to Planning.Contact@salford.gov.uk,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",,,"The submitted fee is insufficient. A fee of £1156 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","Viability Statement Required (Where a developer considers that it is not financially viable to enter into an agreement, or that they can only make reduced payments from that sought by the city council, then a clear and robust unredacted financial viability assessment, to include an executive summary, will be required. An application will not be considered as ?valid? unless a financial viability assessment has been submitted. Viability assessments will be made publicly available. Further details of what should be included within the viability assessment are detailed within the Planning obligations pro forma statement. available on the link https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",Please provide the resultant crown spread in meters rather than how much it is proposed to be reduced.
