Invalid Reason Details,Planning Application: Application Type
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Prior approval Part 1 Class AA : Enlargement of a dwellinghouse by construction of additional storeys
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class AA : Enlargement of a dwellinghouse by construction of additional storeys
Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 14 Sheringham Drive is NOT an adjoining neigh 12 Sheringham Drive and also 5 South Meade IS an adjoining neighbour,Prior approval Part 1 Class A.1(ea): Larger home extension
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class A.1(ea): Larger home extension
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class A.1(ea): Larger home extension
Please clarify the proposal. It states that the proposed extension is side/rear. This type of application can only be used for rear extensions from the original building. (or as it was 1st July 1948).,Prior approval Part 1 Class A.1(ea): Larger home extension
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class A.1(ea): Larger home extension
"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 98 FERRY ROAD, IRLAM, MANCHESTER, M44 6DN",Prior approval Part 1 Class A.1(ea): Larger home extension
"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 8 MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 9, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 10, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 11, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 12, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 13, MOORFIELD, MOOR LANE, SALFORD, M7 3WX 15 MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 16, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 17, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 18, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 14, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 7, MOORFIELD, MOOR LANE, SALFORD, M7 3WX 1 MOORFIELD, MOOR LANE, SALFORD, M7 3WX 2 MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 4, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 5, MOORFIELD, MOOR LANE, SALFORD, M7 3WX FLAT 6, MOORFIELD, MOOR LANE, SALFORD, M7 3WX",Prior approval Part 1 Class A.1(ea): Larger home extension
"A fee of £120 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Prior approval Part 1 Class A.1(ea): Larger home extension
"The submitted fee is insufficient. A fee of £^IN is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Prior approval Part 1 Class A.1(ea): Larger home extension
The plans include a proposed side extension which cannot be applied with this type of application. Please mark clearly on the plans that the side extension is not included in the proposal.,Prior approval Part 1 Class A.1(ea): Larger home extension
"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 12 Highfield Drive, SWINTON, MANCHESTER, M27 4JE",Prior approval Part 1 Class A.1(ea): Larger home extension
Please clarify if the proposed extension is proposed to be at the side of an existing extension or is it to the side of the original house. The term 'original house' means  the house as it was first built or as it stood on 1 July 1948  (if it was built before that date). You can only apply with this type of application if the extension is classed as a rear extension. Please confirm that the extension proposed is a rear extension.,Prior approval Part 1 Class A.1(ea): Larger home extension
Please resubmit the site plan to include the entire site area.,Prior approval Part 1 Class A.1(ea): Larger home extension
"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: 49 to 71 Florence Street, ECCLES, MANCHESTER, M30 7JN",Prior approval Part 1 Class A.1(ea): Larger home extension
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £206.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Prior approval Part 1 Class A.1(ea): Larger home extension
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class A.1(ea): Larger home extension
"Please confirm that the following address/es are adjoining premises to the property by emailing planning.contact@salford.gov.uk: Flat 1 to 19, The Vineyard, 8 Vine Street, Salford, M7 3AD",Prior approval Part 1 Class A.1(ea): Larger home extension
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 1 Class A.1(ea): Larger home extension
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 18 Class A: Development under local or private Acts or Order
A location plan was submitted but it is not in the correct scale and does not have s ufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear. Please see https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/ for the requirements.,Prior approval Part 18 Class A: Development under local or private Acts or Order
Please provide an existing layout plan in 1:50 or 1:100 scale.,Prior approval Part 18 Class A: Development under local or private Acts or Order
Please amend proposed elevations sheet 2 and 3. They refer to existing elevation B and C.,Prior approval Part 18 Class A: Development under local or private Acts or Order
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior approval Part 14 Class J: Installation or alteration etc of solar equipment on non-domestic premises
Please clarify if the works have already carried out or not. The photograph submitted is not labelled and it is unclear so it is not clear whether the panels have been already installed.,Prior approval Part 14 Class J: Installation or alteration etc of solar equipment on non-domestic premises
"Please clarify the red line on the location plan. The red line should be around the site and the area required to including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings.",Prior approval Part 14 Class J: Installation or alteration etc of solar equipment on non-domestic premises
"The location plan provided is insufficient. The application site needs to be outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient road names and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre-Application enquiry
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
"Can you please confirm which location plan you wish to submit as there are 3 different ones you have submitted, one of them being incorrect, please send over the correct location plan via email to Planning.Contact@salford.gov.uk .",Pre Application (6 weeks)
"No fee has been submitted. Please pay £5,340.00, payment can be made by telephoning 0161 779 6195.",Pre Application (6 weeks)
Please pay the application fee £240.00 by card by calling 0161 779 6195.,Pre Application (6 weeks)
Please provide written statement of the proposed works.,Pre Application (6 weeks)
Please forward £540.00 by return. Payment can be made by telephoning 0161 779 6195.,Pre Application (6 weeks)
Please provide a written statement for the proposal.,Pre Application (6 weeks)
There is no red line on the location plan. Please include a continuous single red line around the site area.,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
,Pre Application (6 weeks)
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre Application (6 weeks)
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre Application (6 weeks)
Please provide a written statement for the proposed works.,Pre Application (6 weeks)
Please amend the location plan to include a red line around the site area.,Pre Application (6 weeks)
Please provide and email address to your agent.,Pre Application (6 weeks)
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre Application (6 weeks)
Please provide a written statement for the proposed works.,Pre Application (6 weeks)
"Please confirm the address of the site. The form indicates to 101 Regent Road, but the brochure included details 100 Regent Road.",Pre Application (6 weeks)
"Please clarify the floor space proposed for the scheme to determine the fee. It appears from the previous application 21/78656/FUL that this would be >1,000sqm which would make this a category 8 application. Once this has been clarified we will request the appropriate fee.",Pre Application (6 weeks)
Please pay the fee £480.00. Payment can be made by telephoning 0161 779 6195.,Pre Application (6 weeks)
Please provide a written statement for the proposal.,Pre Application (6 weeks)
Please submit a written statement with further detail on the proposed use and development.,Pre Application (6 weeks)
"Please clarify if you are requesting the advice for the change of use to a shop. If you wish to have advice for alternate options as proposals, you would need to submit separate pre-application advice requests.",Pre Application (6 weeks)
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre Application (6 weeks)
"The application category chosen is incorrect and is intended for works to single households or adverts. For 6 apartments proposed this falls under category 7. The total fee for this is £1,080.00 (incl. VAT). This is the basic fee for written advice with no consultees and no meeting. Please pay the top up fee £980.00 by phoning 0161 779 6195.",Pre Application (6 weeks)
Please provide a written statement for the proposed works.,Pre Application (6 weeks)
A fee of £720.00 is required for this application. Please pay the fee by calling 0161 779 6195.,Pre Application (6 weeks)
,Pre Application (4 weeks)
We have not received a fee for this application. Please forward £510.00 (incl.VAT) by return. Payment can be made by telephoning 0161 779 6195.,Pre Application (4 weeks)
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Pre Application (4 weeks)
,Pre Application (4 weeks)
The red line appears to be incorrect in the location plan according our mapping system. It appears to be only around 502 Great Cheetham Street East.,Pre Application (4 weeks)
Location Plan required - please see email on file,Pre Application (4 weeks)
Please amend the location plan to include a red line around the property boundaries.,Pre Application (4 weeks)
"The submitted fee is insufficient. A fee of £ £8,460.00 is required for this application.",Pre Application (4 weeks)
The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Permission in Principle
"CONTAM - The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",Outline planning permission: Some matters reserved
"OBLIG - The application must be accompanied by Planning Obligations pro forma statement, or the minimum information submitted in a viability statement as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htmhttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",Outline planning permission: Some matters reserved
"AIRQL - The application must be accompanied by an Air Quality Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/air-quality-assessment/",Outline planning permission: Some matters reserved
"BIOD - The application must be accompanied by a Biodiversity survey , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Outline planning permission: Some matters reserved
TREE - A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Outline planning permission: Some matters reserved
"CRIME - The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",Outline planning permission: Some matters reserved
"PROP - We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Outline planning permission: Some matters reserved
"NET - The application must be accompanied by a Biodiversity Net Gain Metric in excel format , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Outline planning permission: Some matters reserved
SUDS - You are required to submit a North west SUDs Prop forma,Outline planning permission: Some matters reserved
"DRAIN - The application must be accompanied by a Drainage strategy , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",Outline planning permission: Some matters reserved
"U0013885 - Please resubmitted the Location Plan, as it is showing too may red boundary lines around dwelling and land. The red line on the location plan should be a continuous red line around the whole of the application boundary.",Outline planning permission: Some matters reserved
"The application must be accompanied by a Biodiversity survey and Net Gain Report, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports",Outline planning permission: Some matters reserved
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",Outline planning permission: Some matters reserved
"The application must be accompanied by Planning Obligations pro forma statement, or the minimum information submitted in a viability statement as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htmhttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",Outline planning permission: Some matters reserved
various documents email sent separately,Outline planning permission: Some matters reserved
"The application must be accompanied by an Affordable Housing Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at http://www.salford.gov.uk/validationchecklist.htm",Outline planning permission: Some matters reserved
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Outline planning permission: Some matters reserved
You are required to submit a Northwest SUDs Pro forma.,Outline planning permission: Some matters reserved
We require a VU City 3D model as per the validation check list  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/vu-city-3d-model/,Outline planning permission: Some matters reserved
The submitted Bio Net Gain assessment shows a link which does not work - please supply a Bio Net Gain Assessment in Excel spreadsheet format as per the validation check list,Outline planning permission: Some matters reserved
We also require the following reports: Fire Safety energy Statement Wind report Townscape visual Impact VU City Model,Outline planning permission: Some matters reserved
"The application must be accompanied by a Planning Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm",Outline planning permission: Some matters reserved
